0,86,105,48,81,97,100,118,88,74,115,84,63,85,111,56,77,61,40,52,88,68,34,79,129,96,123,87,89,26,84,112,78,62,130,39,127,130,58,16,75,22,116,84,53,88,85,42,59,58,85,54,27,99,88,65,133,80,76,60,68,94,133,34,74,63,100,102,71,21,71,
86,0,30,58,32,21,18,31,3,22,42,49,52,34,24,55,36,47,46,45,38,39,53,37,43,16,39,13,33,61,42,26,72,26,44,52,49,48,45,71,47,64,46,51,33,54,7,46,38,36,30,66,60,44,12,55,49,22,10,50,32,15,51,57,69,25,26,16,37,68,37,
105,30,0,65,27,9,38,30,31,31,12,39,53,25,25,59,66,51,69,55,66,41,75,67,32,39,19,42,20,79,32,32,65,44,31,67,22,26,51,89,42,85,16,41,57,41,25,70,67,47,23,69,78,23,40,54,29,52,38,80,38,40,27,82,64,42,5,30,38,84,67,
48,58,65,0,38,59,76,86,61,37,72,36,15,41,79,7,71,14,35,13,80,23,35,73,95,73,85,66,46,28,37,83,32,33,94,16,86,91,14,33,27,37,72,36,38,39,52,40,56,22,42,10,26,53,66,17,95,65,51,66,27,72,93,46,28,33,60,74,27,27,66,
81,32,27,38,0,23,49,53,35,13,34,17,26,4,46,31,63,23,49,29,68,14,54,65,58,48,47,45,8,55,9,51,41,26,58,42,48,53,24,64,16,63,35,19,41,21,24,52,57,22,4,41,54,19,44,27,57,51,32,70,13,48,55,63,39,24,22,44,10,59,61,
97,21,9,59,23,0,32,30,23,23,21,37,49,22,23,54,57,45,60,48,58,36,66,59,35,33,25,34,18,71,30,29,63,35,35,59,30,33,45,81,39,77,25,39,48,40,16,61,58,40,19,64,70,25,32,50,36,43,29,71,31,33,35,73,62,34,5,25,33,77,58,
100,18,38,76,49,32,0,22,15,41,49,66,71,50,19,73,35,65,59,63,31,57,66,35,37,4,39,12,48,75,59,15,90,43,38,68,51,47,63,86,64,77,54,68,47,70,25,57,45,54,47,84,75,58,11,73,46,23,25,54,50,5,50,68,87,43,37,8,56,83,38,
118,31,30,86,53,30,22,0,29,49,36,67,78,52,7,82,57,73,78,74,52,64,84,57,14,26,20,34,48,92,60,7,93,57,16,83,33,26,72,102,69,96,41,69,65,70,34,77,66,65,49,93,91,53,32,80,25,45,42,76,59,27,29,88,92,56,32,16,62,99,60,
88,3,31,61,35,23,15,29,0,25,43,52,56,37,23,58,35,50,48,48,35,42,54,36,42,13,39,11,36,63,45,24,75,28,43,54,49,48,48,73,50,66,47,54,35,57,10,47,39,39,33,69,62,46,9,58,49,21,12,50,35,12,50,58,73,28,28,14,41,70,36,
74,22,31,37,13,23,41,49,25,0,41,29,30,16,42,33,50,25,39,25,55,16,44,52,58,38,49,34,19,48,22,46,49,14,58,36,53,56,23,58,24,54,43,31,29,34,16,41,44,16,14,44,46,31,33,32,59,38,20,57,10,38,58,52,47,12,25,38,15,53,48,
