0,27,87,56,56,31,46,98,25,35,120,53,43,97,94,95,24,90,12,59,106,37,91,65,83,44,86,35,58,66,47,86,44,85,44,55,75,16,65,37,35,
27,0,59,38,29,7,20,72,17,24,92,26,26,78,68,68,8,66,15,33,80,12,67,37,62,17,62,14,31,40,25,59,18,60,20,28,54,15,38,15,10,
87,59,0,58,33,57,44,27,70,64,34,34,55,61,21,17,64,40,74,33,37,51,31,21,50,42,34,56,29,32,50,17,45,23,47,31,41,72,26,53,51,
56,38,58,0,28,31,24,82,31,61,82,31,61,103,76,74,34,38,49,26,58,28,81,44,29,38,80,24,45,26,14,47,25,72,21,38,76,52,32,50,42,
56,29,33,28,0,25,11,55,37,45,64,5,40,75,49,47,32,38,45,4,50,19,52,16,37,17,51,23,17,12,17,30,12,44,13,11,49,44,8,32,26,
31,7,57,31,25,0,14,73,14,31,89,22,33,82,68,68,7,59,20,28,75,6,68,36,55,17,65,6,31,35,18,55,13,61,13,26,57,22,34,21,14,
46,20,44,24,11,14,0,64,25,39,75,10,37,80,58,57,21,45,35,13,60,8,61,25,42,14,58,12,23,20,9,41,2,53,3,17,53,35,19,27,19,
98,72,27,82,55,73,64,0,87,68,43,54,58,38,6,10,79,68,86,56,62,68,9,39,77,56,16,75,42,57,72,44,64,12,67,47,29,81,50,61,63,
25,17,70,31,37,14,25,87,0,40,101,35,44,96,82,81,9,66,19,38,84,19,82,49,59,31,79,13,45,44,23,66,24,75,23,40,71,24,45,33,27,
35,24,64,61,45,31,39,68,40,0,98,40,10,62,65,67,31,83,25,49,94,33,60,43,81,28,54,38,35,57,47,70,37,55,40,37,42,19,52,13,19,
120,92,34,82,64,89,75,43,101,98,0,67,89,81,41,36,96,50,108,62,32,83,52,55,63,76,58,88,63,58,79,35,77,49,78,64,69,106,56,87,85,
53,26,34,31,5,22,10,54,35,40,67,0,35,72,48,47,29,43,41,9,55,16,51,15,42,12,49,21,14,17,18,33,10,43,13,7,45,40,12,27,21,
43,26,55,61,40,33,37,58,44,10,89,35,0,54,55,57,34,77,33,44,87,33,50,36,78,24,44,39,28,52,46,63,36,45,39,31,32,27,46,11,19,
97,78,61,103,75,82,80,38,96,62,81,72,54,0,42,47,86,100,87,78,98,80,30,60,107,67,27,87,57,82,89,77,79,37,83,64,26,81,75,63,69,
94,68,21,76,49,68,58,6,82,65,41,48,55,42,0,5,74,62,81,50,56,63,11,33,71,51,17,69,37,51,66,38,58,9,61,41,29,77,44,57,58,
95,68,17,74,47,68,57,10,81,67,36,47,57,47,5,0,74,57,82,48,51,62,16,32,67,51,22,68,37,48,64,34,57,13,60,41,33,79,42,58,59,
24,8,64,34,32,7,21,79,9,31,96,29,34,86,74,74,0,66,15,35,82,13,74,43,60,23,70,11,37,42,23,62,20,67,20,33,62,17,41,24,18,
90,66,40,38,38,59,45,68,66,83,50,43,77,100,62,57,66,0,80,34,20,54,71,44,13,55,73,55,51,26,43,23,47,63,46,46,77,81,31,70,64,
12,15,74,49,45,20,35,86,19,25,108,41,33,87,81,82,15,80,0,48,96,26,79,53,75,32,74,26,46,56,38,75,33,73,34,43,64,6,54,25,23,
59,33,33,26,4,28,13,56,38,49,62,9,44,78,50,48,35,34,48,0,47,21,54,18,33,21,53,25,21,8,17,27,15,46,15,15,52,48,6,36,30,
106,80,37,58,50,75,60,62,84,94,32,55,87,98,56,51,82,20,96,47,0,69,67,51,33,66,71,71,59,40,60,24,62,61,62,56,78,95,42,81,76,
37,12,51,28,19,6,8,68,19,33,83,16,33,80,63,62,13,54,26,21,69,0,64,30,50,13,61,7,26,29,13,49,6,56,8,21,54,27,27,22,14,
