true,0,0,0,0,0
true,72,89,1,110,3046
false,80,64,-1,263,3592
true,19,99,2,1636,3716
false,84,21,-2,2595,7457
true,47,77,2,1559,7652
false,71,59,-2,402,5602
true,67,69,2,572,6085
false,29,63,-2,1225,6643
true,67,4,1,977,5945
false,32,54,-1,1182,5540
true,34,37,2,31,708
false,6,22,-2,105,4379
true,20,73,1,893,5562
false,39,13,-1,424,2504
true,26,80,1,230,2448
false,97,92,-1,273,1583
true,44,89,2,3468,4508
false,91,99,-2,3906,8716
true,88,97,1,71,2151
false,23,8,-1,712,5381
true,6,81,1,828,5218
false,76,70,-1,636,6593
true,88,72,1,923,3100
false,80,89,-1,1369,5268
true,31,91,2,1768,3918
false,91,71,-2,861,2941
true,16,50,1,1850,2890
false,65,46,-1,219,5059
true,7,46,2,267,7547
false,5,88,-2,1349,6549
true,30,53,2,347,8459
false,65,6,-2,2277,5397
true,82,95,2,2119,5239
false,96,65,-2,2152,5272
true,23,34,2,782,7613
false,89,42,-2,2999,4039
true,75,60,2,9,8329
false,76,35,-2,3154,5234
true,9,40,1,1226,4823
false,75,6,-1,1684,6457
true,23,5,1,727,6701
false,60,90,-1,1632,2672
true,62,4,1,447,2197
false,60,5,-1,436,2199
true,57,87,2,1536,7352
false,22,42,-2,2488,8449
true,54,31,2,2857,6529
false,81,32,-2,1275,7076
true,66,90,2,1019,5623
false,95,27,-2,682,6732
true,40,37,1,156,1196
false,94,46,-1,1261,3914
true,60,18,2,1733,4853
false,24,19,-2,209,6449
true,23,48,2,3065,4105
false,79,57,-2,1561,5721
true,63,80,2,645,5959
false,64,76,-2,137,8043
true,30,10,2,1505,4625
false,17,96,-2,31,6271
true,11,74,2,1464,8585
false,30,22,-2,2400,4480
true,44,6,1,619,3944
false,24,98,-1,398,1438
true,91,22,2,50,4773
false,16,40,-2,72,2770
true,56,25,1,251,2891
false,64,6,-1,192,3571
true,56,5,1,43,4951
false,51,77,-1,4,5023
true,85,40,1,497,3096
false,48,72,-1,544,1584
true,20,65,2,3142,8274
false,75,60,-2,3310,9369
true,37,62,1,1224,3758
false,71,5,-1,847,5384
true,71,38,1,673,5498
false,48,56,-1,1312,6263
true,79,26,1,196,1236
false,98,56,-1,79,5951
