0,89,95,109,76,94,108,106,54,42,125,83,111,88,130,107,93,79,71,47,91,44,69,102,98,98,74,72,45,81,75,86,55,63,10,52,38,74,70,60,124,91,108,94,116,74,123,100,87,84,91,
89,0,6,36,94,90,37,57,44,67,55,102,77,82,64,72,93,28,27,57,42,62,64,47,108,91,23,91,79,19,82,57,51,51,79,42,79,79,81,29,69,60,86,13,42,48,61,14,22,101,15,
95,6,0,35,98,94,36,58,50,72,53,107,78,86,63,73,97,32,32,62,44,67,68,48,112,94,27,95,85,23,86,60,57,55,85,48,84,84,85,35,68,63,89,12,41,52,60,12,25,105,16,
109,36,35,0,85,73,2,28,55,74,18,92,49,67,28,45,77,29,38,65,24,70,58,19,92,72,58,83,83,29,72,41,57,51,98,56,86,70,74,52,34,41,62,47,7,42,25,23,22,89,51,
76,94,98,85,0,22,83,63,54,41,90,9,52,22,89,52,19,66,66,45,61,42,30,67,22,27,97,4,31,75,12,44,45,43,70,59,38,14,12,74,76,45,42,106,88,46,81,94,74,8,106,
94,90,94,73,22,0,71,47,59,54,73,24,32,8,72,33,4,62,65,54,51,54,31,53,19,5,99,24,48,71,18,34,50,45,86,65,55,20,24,77,57,32,20,103,74,43,64,87,68,21,105,
108,37,36,2,83,71,0,26,54,73,18,90,47,64,27,43,74,28,37,64,22,68,56,17,90,70,58,81,81,29,70,38,55,49,97,55,84,68,72,52,32,39,60,48,7,40,24,24,22,87,52,
106,57,58,28,63,47,26,0,53,65,27,69,21,42,27,17,51,35,43,58,17,62,41,9,66,45,75,62,70,42,51,21,50,42,95,57,74,49,54,60,17,18,34,69,28,31,18,47,35,66,73,
54,44,50,55,54,59,54,53,0,22,71,63,63,51,77,58,61,26,19,12,38,17,28,48,73,62,43,50,34,30,45,37,9,15,43,5,34,42,42,19,71,42,66,54,62,23,69,51,34,62,54,
42,67,72,74,41,54,73,65,22,0,87,49,69,47,92,65,54,46,41,10,53,5,27,63,62,58,62,37,13,52,36,45,17,24,32,25,12,34,31,40,83,49,66,76,80,34,83,73,55,49,75,
125,55,53,18,90,73,18,27,71,87,0,96,44,69,10,41,77,46,55,79,34,83,66,24,92,71,77,89,94,48,78,46,70,63,114,72,97,76,80,70,21,45,58,65,12,53,11,41,40,93,69,
83,102,107,92,9,24,90,69,63,49,96,0,56,27,95,56,20,75,75,54,68,51,38,73,15,28,106,13,38,84,20,51,54,52,77,69,45,23,21,83,80,51,44,115,95,55,87,102,83,3,115,
111,77,78,49,52,32,47,21,63,69,44,56,0,30,40,5,36,51,59,64,34,66,41,30,50,29,92,53,69,60,43,26,57,49,101,68,75,43,48,75,25,21,14,89,48,40,33,68,54,53,92,
88,82,86,67,22,8,64,42,51,47,69,27,30,0,68,29,10,54,57,47,44,47,23,47,26,11,91,23,43,63,14,26,42,37,80,57,50,14,19,69,53,25,21,95,69,35,60,79,61,24,97,
130,64,63,28,89,72,27,27,77,92,10,95,40,68,0,39,76,53,62,84,38,88,68,28,90,69,86,89,97,56,78,48,75,68,120,79,101,77,81,78,15,46,55,75,22,57,8,51,48,92,79,
107,72,73,45,52,33,43,17,58,65,41,56,5,29,39,0,37,46,54,60,29,62,38,26,51,30,87,52,66,55,42,21,52,44,97,63,72,41,46,70,24,16,17,85,44,35,31,64,49,53,87,
93,93,97,77,19,4,74,51,61,54,77,20,36,10,76,37,0,65,67,54,54,54,32,57,15,8,101,22,47,74,18,37,51,46,85,66,54,20,23,79,61,35,23,106,78,45,68,90,71,17,107,
79,28,32,29,66,62,28,35,26,46,46,75,51,54,53,46,65,0,9,36,18,41,36,27,80,63,40,63,57,9,54,29,29,25,69,27,58,51,54,25,51,33,60,41,36,20,46,27,9,73,43,
71,27,32,38,66,65,37,43,19,41,55,75,59,57,62,54,67,9,0,31,26,36,36,36,82,67,34,63,52,11,55,34,24,23,60,18,53,52,53,16,60,39,65,39,45,22,55,32,16,73,40,
47,57,62,65,45,54,64,58,12,10,79,54,64,47,84,60,54,36,31,0,45,5,24,55,65,58,54,41,22,42,37,39,8,16,37,16,22,35,33,31,76,43,64,67,71,26,75,63,45,53,66,
91,42,44,24,61,51,22,17,38,53,34,68,34,44,38,29,54,18,26,45,0,49,34,10,70,51,58,59,60,25,49,17,36,29,81,41,64,46,50,43,34,19,44,55,28,19,31,36,19,66,58,
44,62,67,70,42,54,68,62,17,5,83,51,66,47,88,62,54,41,36,5,49,0,25,59,63,58,58,38,17,47,36,42,13,20,34,20,17,34,32,35,79,46,65,71,76,30,79,68,50,51,71,
