0,94,108,27,74,110,96,51,100,70,79,85,123,134,127,126,67,76,123,93,64,30,118,32,79,94,133,88,103,122,110,
94,0,29,77,28,57,29,50,14,36,43,8,53,53,53,58,29,37,37,62,41,66,29,83,69,49,52,35,46,35,16,
108,29,0,86,33,32,58,57,40,38,35,32,24,27,24,29,52,34,16,44,45,84,14,89,58,31,26,64,23,15,25,
27,77,86,0,53,84,88,29,88,47,54,69,99,111,103,101,56,52,102,66,41,31,98,8,52,68,110,82,78,101,93,
74,28,33,53,0,45,51,24,42,8,18,21,51,60,54,55,28,10,49,40,14,51,44,57,43,31,59,51,34,48,41,
110,57,32,84,45,0,87,60,71,43,31,57,21,37,27,20,73,37,41,21,48,93,44,84,39,16,37,91,11,42,58,
96,29,58,88,51,87,0,65,18,59,69,30,81,80,81,86,32,62,63,90,62,66,55,95,94,78,79,10,76,61,36,
51,50,57,29,24,60,65,0,61,19,28,42,72,83,76,75,34,24,73,46,12,34,68,33,39,44,82,62,52,72,64,
100,14,40,88,42,71,18,61,0,50,58,20,64,62,63,69,33,51,45,77,55,71,37,94,84,64,61,26,60,43,18,
70,36,38,47,8,43,59,19,50,0,13,30,53,63,57,56,34,6,54,34,6,50,50,50,35,28,63,59,34,53,49,
79,43,35,54,18,31,69,28,58,13,0,38,44,57,49,47,46,7,51,22,16,62,49,55,26,15,56,70,24,50,52,
85,8,32,69,21,57,30,42,20,30,38,0,56,59,57,61,21,32,43,59,34,57,36,75,64,47,58,33,46,42,24,
123,53,24,99,51,21,81,72,64,53,44,56,0,16,6,5,75,47,24,41,59,103,30,100,59,32,16,88,21,25,47,
134,53,27,111,60,37,80,83,62,63,57,59,16,0,10,18,80,58,17,57,70,111,25,113,74,46,1,87,35,19,44,
127,53,24,103,54,27,81,76,63,57,49,57,6,10,0,8,77,51,20,47,63,106,27,105,65,37,10,88,26,22,46,
126,58,29,101,55,20,86,75,69,56,47,61,5,18,8,0,80,50,28,42,62,107,34,102,59,33,18,93,23,30,52,
67,29,52,56,28,73,32,34,33,34,46,21,75,80,77,80,0,38,65,68,34,38,58,63,68,59,79,27,62,63,44,
76,37,34,52,10,37,62,24,51,6,7,32,47,58,51,50,38,0,50,29,12,56,47,55,32,22,58,62,28,49,47,
123,37,16,102,49,41,63,73,45,54,51,43,24,17,20,28,65,50,0,57,61,98,8,105,73,45,16,71,34,2,27,
93,62,44,66,40,21,90,46,77,34,22,59,41,57,47,42,68,29,57,0,37,81,58,64,17,13,57,91,23,58,67,
64,41,45,41,14,48,62,12,55,6,16,34,59,70,63,62,34,12,61,37,0,45,57,44,34,32,69,60,39,60,55,
30,66,84,31,51,93,66,34,71,50,62,57,103,111,106,107,38,56,98,81,45,0,92,39,72,78,110,58,85,97,82,
118,29,14,98,44,44,55,68,37,50,49,36,30,25,27,34,58,47,8,58,57,92,0,101,72,45,24,62,36,6,19,
32,83,89,8,57,84,95,33,94,50,55,75,100,113,105,102,63,55,105,64,44,39,101,0,49,68,112,89,79,104,98,
79,69,58,52,43,39,94,39,84,35,26,64,59,74,65,59,68,32,73,17,34,72,72,49,0,28,74,94,39,73,78,
94,49,31,68,31,16,78,44,64,28,15,47,32,46,37,33,59,22,45,13,32,78,45,68,28,0,46,81,11,45,54,
133,52,26,110,59,37,79,82,61,63,56,58,16,1,10,18,79,58,16,57,69,110,24,112,74,46,0,86,35,18,43,
88,35,64,82,51,91,10,62,26,59,70,33,88,87,88,93,27,62,71,91,60,58,62,89,94,81,86,0,80,69,44,
103,46,23,78,34,11,76,52,60,34,24,46,21,35,26,23,62,28,34,23,39,85,36,79,39,11,35,80,0,35,48,
122,35,15,101,48,42,61,72,43,53,50,42,25,19,22,30,63,49,2,58,60,97,6,104,73,45,18,69,35,0,25,
110,16,25,93,41,58,36,64,18,49,52,24,47,44,46,52,44,47,27,67,55,82,19,98,78,54,43,44,48,25,0,
