0,82,108,68,42,64,29,57,55,49,83,25,36,83,99,32,120,26,67,108,66,
82,0,40,46,42,30,64,50,64,61,65,76,57,3,88,68,75,61,69,67,61,
108,40,0,46,66,43,82,56,68,69,51,93,74,43,68,83,39,82,65,35,59,
68,46,46,0,32,17,38,10,22,23,23,48,31,48,45,38,52,41,23,41,15,
42,42,66,32,0,23,22,27,34,29,54,34,18,43,76,27,84,19,45,73,40,
64,30,43,17,23,0,39,20,34,32,40,51,32,32,63,42,62,39,39,52,32,
29,64,82,38,22,39,0,28,26,20,54,12,7,65,70,5,90,7,38,79,36,
57,50,56,10,27,20,28,0,13,13,28,38,21,53,49,28,62,32,20,50,13,
55,64,68,22,34,34,26,13,0,6,29,31,21,66,44,23,67,32,12,56,11,
49,61,69,23,29,32,20,13,6,0,34,27,15,64,50,17,71,25,18,60,16,
83,65,51,23,54,40,54,28,29,34,0,60,47,68,23,51,39,59,19,28,17,
25,76,93,48,34,51,12,38,31,27,60,0,19,77,74,9,98,16,43,87,43,
36,57,74,31,18,32,7,21,21,15,47,19,0,59,65,10,83,11,33,72,30,
83,3,43,48,43,32,65,53,66,64,68,77,59,0,91,69,78,62,72,70,64,
99,88,68,45,76,63,70,49,44,50,23,74,65,91,0,67,42,76,32,36,36,
32,68,83,38,27,42,5,28,23,17,51,9,10,69,67,0,89,13,34,78,34,
120,75,39,52,84,62,90,62,67,71,39,98,83,78,42,89,0,94,58,11,56,
26,61,82,41,19,39,7,32,32,25,59,16,11,62,76,13,94,0,44,82,41,
67,69,65,23,45,39,38,20,12,18,19,43,33,72,32,34,58,44,0,47,7,
108,67,35,41,73,52,79,50,56,60,28,87,72,70,36,78,11,82,47,0,44,
66,61,59,15,40,32,36,13,11,16,17,43,30,64,36,34,56,41,7,44,0,
