0,67,95,60,43,48,107,52,85,95,76,73,77,74,70,69,108,73,93,74,79,19,101,80,126,46,66,74,32,84,77,76,81,97,15,46,64,79,40,80,106,69,58,29,110,67,28,79,92,53,76,38,82,77,85,81,94,53,72,91,81,
67,0,36,15,36,57,69,48,18,60,55,56,38,9,71,43,75,84,49,55,83,60,81,23,74,37,18,16,40,44,85,62,90,80,53,49,21,42,53,90,53,84,36,44,55,40,55,61,26,50,26,66,55,18,71,15,82,14,75,66,78,
95,36,0,34,54,67,42,57,24,38,46,50,28,37,69,40,49,84,24,48,79,83,63,15,38,53,29,22,64,26,83,55,87,65,80,61,31,30,68,88,19,87,44,67,19,39,75,51,30,58,20,81,41,19,60,21,69,44,74,50,72,
60,15,34,0,23,42,58,33,28,48,40,41,26,24,55,28,63,69,39,40,67,50,67,19,69,23,6,13,30,32,70,47,74,66,45,34,7,30,39,75,48,69,21,34,51,25,44,46,37,35,17,52,41,16,56,22,67,11,60,53,63,
43,36,54,23,0,22,64,16,51,52,36,34,34,46,40,26,67,51,50,35,53,28,64,39,83,3,27,36,11,41,54,39,58,61,27,13,23,36,17,58,63,50,15,13,67,24,21,40,61,17,34,29,41,39,49,45,60,24,44,51,50,
48,57,67,42,22,0,62,10,70,50,30,27,40,66,22,28,62,30,54,28,33,29,53,53,87,20,44,52,26,45,33,28,37,49,36,8,39,40,9,37,69,28,23,25,74,28,20,31,80,9,47,15,37,55,36,63,45,45,25,44,33,
107,69,42,58,64,62,0,55,64,12,31,35,32,74,50,37,7,63,20,33,55,89,26,46,30,61,52,53,76,25,60,35,62,30,91,61,51,29,68,64,26,68,49,77,29,40,79,31,72,55,43,77,24,52,33,59,36,70,54,20,47,
52,48,57,33,16,10,55,0,60,43,24,21,30,58,24,19,56,36,45,22,36,33,49,43,78,13,34,43,25,36,38,24,42,46,38,6,29,30,13,42,60,36,13,25,65,18,24,26,70,1,37,24,30,45,33,53,44,38,28,39,34,
85,18,24,28,51,70,64,60,0,58,60,62,40,14,79,49,71,94,44,60,91,78,82,20,62,51,26,18,58,43,94,67,98,83,71,62,30,44,68,99,43,95,47,62,43,47,72,65,10,62,26,81,57,16,75,7,86,32,84,68,85,
95,60,38,48,52,50,12,43,58,0,20,24,22,66,41,25,15,55,14,22,47,77,24,38,38,49,43,44,64,16,52,25,54,27,79,49,41,18,56,56,27,59,37,65,31,28,67,21,67,43,34,66,13,44,25,52,32,59,45,13,39,
